Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/comp.graphics/38466
Truth category: 0 (comp.graphics)
Assigned cluster: 1 (graphic imag file thank program format gif use bit help)

Raw data:
============ START RAW ==========================
From: tdawson@engin.umich.edu (Chris Herringshaw)
Subject: Newsgroup Split
Organization: University of Michigan Engineering, Ann Arbor
Lines: 11
Distribution: world
NNTP-Posting-Host: po.engin.umich.edu

Concerning the proposed newsgroup split, I personally am not in favor of
doing this.  I learn an awful lot about all aspects of graphics by reading
this group, from code to hardware to algorithms.  I just think making 5
different groups out of this is a wate, and will only result in a few posts
a week per group.  I kind of like the convenience of having one big forum
for discussing all aspects of graphics.  Anyone else feel this way?
Just curious.


Daemon


========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 newsgroup split      concern propos newsgroup
split person favor learn aw lot aspect graphic
read group code hardwar algorithm think make
differ group wate result post week per group kind
like conveni one big forum discuss aspect graphic
anyon els feel way curious   daemon
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
group, 4064, 0.339753687323
split, 8247, 0.336913609471
aspect, 693, 0.323104512341
newsgroup, 6032, 0.287785800763
graphic, 3997, 0.214275726295
wate, 9656, 0.212983014094
daemon, 2336, 0.206664820792
conveni, 2112, 0.185080008731
forum, 3620, 0.180489052034
favor, 3410, 0.172215806237
aw, 829, 0.171558373036
curious, 2297, 0.157932769724
hardwar, 4173, 0.145314167163
algorithm, 407, 0.141481290859
concern, 2004, 0.140715565256
learn, 5182, 0.138285941984
propos, 6933, 0.136687074059
code, 1871, 0.129336539259
feel, 3429, 0.127944162739
result, 7332, 0.126283504654
discuss, 2708, 0.125169494375
week, 9691, 0.119841740624
kind, 5021, 0.116082739123
els, 3053, 0.112500642764
big, 1082, 0.110847368564
person, 6562, 0.108421369548
lot, 5356, 0.10153607895
differ, 2633, 0.100201602542
read, 7135, 0.0990596665451
post, 6766, 0.0950403035608
anyon, 554, 0.0874457962181
way, 9666, 0.0851254682043
make, 5459, 0.0816192379214
think, 8871, 0.0745305476956
like, 5272, 0.0685205512771
