Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-train/comp.graphics/38741
Truth category: 0 (comp.graphics)
Assigned cluster: 1 (graphic imag file thank program format gif use bit help)

Raw data:
============ START RAW ==========================
From: tw2@irz.inf.tu-dresden.de (Thomas Wolf)
Subject: Q: TIFF description
Organization: Dept. of Computer Science, TU Dresden, Germany
Lines: 13
Distribution: world
NNTP-Posting-Host: irz205.inf.tu-dresden.de
Keywords: TIFF

Sorry for wasting your time with a probably simple question, but I'm not
an computer graphic expert. I want to read TIFF-Files with a PASCAL-program.
The problem is, that the files I want to read are in compressed form 
( code 1, e.g. Huffman ). All books & articles I found describe only the
plain (uncompressed) format. I don't know where to get the original
TIFF specification, furthermore I haven't any access to a realy complete
library. Can anybody direct me to a good book or (even better) to an 
specification available via ftp ?

Thanks in advance - Thomas Wolf

ps: direct mail would be prefered


========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 tiff descript       sorri wast time probabl simpl
question i'm comput graphic expert want read tiff
file pascal program problem file want read
compress form code huffman book articl found
describ plain uncompress format don't know get
origin tiff specif furthermor haven't access reali
complet librari anybodi direct good book even
better specif avail via ftp  thank advanc thoma
wolf  direct mail prefer
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
tiff, 8926, 0.408478134705
specif, 8203, 0.217715761589
direct, 2667, 0.210205051226
huffman, 4425, 0.207745479905
wolf, 9815, 0.202744966303
reali, 7145, 0.198517092293
book, 1218, 0.19647730566
file, 3477, 0.189814420575
uncompress, 9228, 0.181538770935
read, 7135, 0.166978820658
pascal, 6447, 0.160495346915
furthermor, 3732, 0.159532901085
plain, 6659, 0.15211967747
expert, 3298, 0.151407250616
want, 9634, 0.149424518228
compress, 1986, 0.141978665826
thoma, 8878, 0.136159378235
descript, 2557, 0.129087927164
wast, 9654, 0.128778015485
prefer, 6819, 0.125308948474
librari, 5250, 0.121748619457
describ, 2556, 0.118175850059
haven, 4207, 0.117148505546
access, 209, 0.117148505546
simpl, 7965, 0.116947575037
anybodi, 552, 0.111516697031
ftp, 3709, 0.110867509523
form, 3610, 0.109921660905
format, 3612, 0.109767142796
code, 1871, 0.109007346515
complet, 1975, 0.106027857917
sorri, 8142, 0.105760276363
advanc, 285, 0.103708711589
origin, 6293, 0.0975392042058
avail, 811, 0.095268095649
comput, 1993, 0.0950870594026
mail, 5447, 0.0942868664203
graphic, 3997, 0.0902978712733
probabl, 6885, 0.0896983525016
articl, 665, 0.0883955111294
problem, 6887, 0.0862873271791
program, 6905, 0.0851336897111
question, 7032, 0.0830205631555
better, 1060, 0.0820501036245
thank, 8832, 0.0768076138394
good, 3948, 0.0705027862408
time, 8936, 0.0651668645572
don, 2811, 0.0622105609004
know, 5052, 0.0590770532439
