Filename: /home/dev/scikit_learn_data/20news_home/20news-bydate-test/rec.sport.baseball/105155
Truth category: 1 (rec.sport.baseball)
Assigned cluster: 3 (game team player year hit basebal pitch win run pitcher)

Raw data:
============ START RAW ==========================
From: steph@perseus.cs.uiuc.edu (Dale Stephenson)
Subject: Re: Ron Gant, Stalling, and Hirschbeck.
Organization: University of Illinois, Dept. of Comp. Sci., Urbana, IL
Lines: 20

In <1993Apr21.020426.3316@adobe.com> snichols@adobe.com (Sherri Nichols) writes:

>In article <steph.735343286@pegasus.cs.uiuc.edu> steph@pegasus.cs.uiuc.edu (Dale Stephenson) writes:
>>But in the past, a disputed strike call has been enough reason to step
>>out of the batters box.  It may not be a good idea.  It may even irritate the
>>umpire.  But I've seen it a lot, and I've seen it tolerated.  Just not this
>>time.

>The key words here are "in the past".  Everybody was warned before the
>season began that the umpires had been instructed to enforce the rule in
>the interest of speeding up the game.  

When I see this happening to other players, I'll post a public apology to
Mr. Hirschbeck.  Until then, I think this was a case of "selective
enforcement."
-- 
Dale J. Stephenson |*| (steph@cs.uiuc.edu) |*| Baseball fanatic

  "It is considered good to look wise, especially when not 
   overburdened with information" -- J. Golden Kimball

========== END RAW ============================

Preprocessed:
============ START PREPROCESSED =================
 ron gant stall hirschbeck       past disput
strike call enough reason step batter box good
idea even irrit umpir i'v seen lot i'v seen toler
time  key word past everybodi warn season began
umpir instruct enforc rule interest speed game
see happen player i'll post public apolog
hirschbeck think case select enforc    consid good
look wise especi overburden inform golden kimbal
========== END PREPROCESSED =====================


Feature vector (sorted, non-zero values only):
Term, Index, Value:
hirschbeck, 4310, 0.339377127193
enforc, 3106, 0.321743920414
umpir, 9210, 0.285418761211
past, 6456, 0.221579847689
seen, 7767, 0.194515037936
stall, 8307, 0.193698187847
irrit, 4772, 0.186160036229
disput, 2737, 0.163494453429
overburden, 6339, 0.162150411978
kimbal, 5019, 0.159652993282
gant, 3766, 0.147486763939
began, 993, 0.145331873828
golden, 3934, 0.14334081028
instruct, 4684, 0.141490413681
toler, 8974, 0.140901556012
wise, 9799, 0.139762112861
apolog, 571, 0.139762112861
warn, 9643, 0.137621898226
ron, 7472, 0.137113084889
good, 3948, 0.134713696543
everybodi, 3239, 0.134707445844
strike, 8448, 0.130471947242
batter, 949, 0.124546801004
select, 7774, 0.12244943685
step, 8377, 0.121047869441
key, 4994, 0.120241557714
rule, 7537, 0.109353780142
especi, 3190, 0.108494586332
box, 1254, 0.107015651077
speed, 8217, 0.106540658067
season, 7747, 0.100914205755
public, 6973, 0.100662251279
word, 9829, 0.0938550997185
happen, 4159, 0.0923520030387
consid, 2059, 0.0918994345603
case, 1540, 0.0911040022456
player, 6683, 0.0904166693681
idea, 4482, 0.0895821063572
inform, 4637, 0.0861242776474
reason, 7156, 0.0845187943177
ll, 5314, 0.0830060268263
lot, 5356, 0.0817580260333
game, 3761, 0.0794273294072
post, 6766, 0.0765275525022
look, 5341, 0.0653923916138
time, 8936, 0.0622590232577
think, 8871, 0.0600128596827
